2025-03-18 00:10:39 INFO  Utils:112 - [TestNG] Running:
  C:\Users\Investobull-dev\eclipse-workspace\Seleniumwebdriver\investobullV201\master.xml

2025-03-18 00:10:44 INFO  TC_010_BSKT_AdminApprovesBasketTest:16 - **** Starting TC_010_BSKT_AdminApprovesBasketTest **** 
2025-03-18 00:10:44 INFO  TC_010_BSKT_AdminApprovesBasketTest:22 - Clicked Logined link....
2025-03-18 00:10:44 INFO  TC_010_BSKT_AdminApprovesBasketTest:28 - Providing Admin credentilas....
2025-03-18 00:10:49 INFO  TC_010_BSKT_AdminApprovesBasketTest:43 - Fetching Pending Basket Count...
2025-03-18 00:10:49 INFO  TC_010_BSKT_AdminApprovesBasketTest:45 - Pending baskets before approval: 2
2025-03-18 00:10:56 INFO  TC_010_BSKT_AdminApprovesBasketTest:56 - Pending baskets after approval: 1
2025-03-18 00:10:56 INFO  TC_010_BSKT_AdminApprovesBasketTest:59 - Test Passed: The approved basket has been removed successfully.
2025-03-18 00:10:56 INFO  TC_010_BSKT_AdminApprovesBasketTest:73 - **** Finished TC_010_BSKT_AdminApprovesBasketTest *****
